Gallinula chloropus
Gallus gallus
Garrulax canorus
Garrulax taewanus
Garrulus glandarius
Gavia adamsii
Gavia arctica
Gavia pacifica
Gavia stellata
Gelochelidon nilotica
Geokichla citrina
Geokichla sibirica
Geopelia cuneata
Geopelia striata
Glareola maldivarum
Gorsachius goisagi
Gorsachius melanolophus
Gracula religiosa
Gracupica contra
Gracupica nigricollis
Grus grus
Grus japonensis
Grus monacha
Grus virgo
Gygis candida
Haematopus ostralegus
Halcyon coromanda
Halcyon pileata
Halcyon smyrnensis
Haliaeetus albicilla
Haliastur indus
Helopsaltes amnicola
Helopsaltes certhiola
Helopsaltes fasciolatus
Helopsaltes ochotensis
Helopsaltes pleskei
Hemixos castanonotus
Heterophasia auricularis
Hieraaetus pennatus
Hierococcyx hyperythrus
Hierococcyx nisicolor
Hierococcyx sparverioides
Himantopus himantopus
Himantopus leucocephalus
Hirundapus caudacutus
Hirundapus celebensis
Hirundapus cochinchinensis
Hirundo javanica
Hirundo rustica
Horornis acanthizoides
Horornis canturians
Horornis diphone
Horornis fortipes
Hydrobates leucorhous
Hydrobates matsudairae
Hydrobates monorhis
Hydrobates tristrami
Hydrocoloeus minutus
Hydrophasianus chirurgus
Hydroprogne caspia
Hypothymis azurea
Hypsipetes amaurotis
Hypsipetes leucocephalus
Ichthyaetus ichthyaetus
Ichthyaetus relictus
Icthyophaga leucogaster
Ictinaetus malaiensis
Iduna caligata
Jynx torquilla
Ketupa flavipes
Lalage melaschistos
Lalage nigra
Lamprotornis caudatus
Lamprotornis superbus
Lanius bucephalus
Lanius collurio
Lanius collurioides
Lanius cristatus
Lanius excubitor
Lanius isabellinus
Lanius schach
Lanius sphenocercus
Lanius tephronotus
Lanius tigrinus
Larus canus
Larus crassirostris
Larus fuscus
Larus hyperboreus
Larus mongolicus
Larus schistisagus
Larus vegae
Larvivora akahige
Larvivora cyane
Larvivora komadori
Larvivora sibilans
Leiothrix lutea
Leucogeranus leucogeranus
Leucophaeus atricilla
Leucophaeus pipixcan
Lewinia striata
Limnodromus griseus
Limnodromus scolopaceus
Limnodromus semipalmatus
Limosa lapponica
Limosa limosa
Linaria cannabina
Liocichla steerii
Locustella alishanensis
Locustella lanceolata
Locustella mandelli
Lonchura atricapilla
Lonchura maja
Lonchura punctulata
Lonchura striata
Lophospiza trivirgata
Lophura nycthemera
Lophura swinhoii
Loxia curvirostra
Luscinia svecica
Lymnocryptes minimus
Machlolophus holsti
Macropygia tenuirostris
Macropygia unchall
Mareca americana
